,location,population,HighestInfectionCount,PercentPopulationInfected
218,Montserrat,4999.0,,
219,Nauru,10834.0,,
220,New Caledonia,285491.0,,
221,Niue,1618.0,,
222,Northern Cyprus,,,
223,Pitcairn,47.0,,
224,Saint Helena,6071.0,,
225,Sint Maarten (Dutch part),42882.0,,
226,Tonga,105697.0,,
227,Turkmenistan,6031187.0,,
228,Turks and Caicos Islands,38718.0,,
229,Tuvalu,11792.0,,
230,Wallis and Futuna,11246.0,,
